Country Name,Country Code,GDP(2022),Unemployment rate(2022),Inflation(2022),Exports(2022),Imports(2022),Foreign direct investments(2022)
Austria,AUT,4.70942E+11,4.707,8.546869932,2.92376E+11,2.90111E+11,-1408908485
Belgium,BEL,5.83436E+11,5.631,9.597511729,5.58532E+11,5.68037E+11,9792975251
Czechia,CZE,2.90528E+11,2.37,15.10016515,11807523802,2.19292E+11,10529730879
Greece,GRC,2.17581E+11,12.162,9.645259813,62514132120,1.28068E+11,6846333191
Iceland,ISL,28064529851,3.809,..,42363005466,13186348368,961239135.5
Italy,ITA,2.04974E+12,8.094,10.78058068,27799028879,7.81905E+11,31228075332
Monaco,MCO,8784002932,..,15.32525893,2.80167E+11,..,..
Bosnia and Herzegovina,BIH,24473906674,14.053,8.39548298,2.22109E+11,1.32718E+11,9099403315
Bulgaria,BGR,90346169915,6.746,7.696566999,1.2815E+11,55186778791,2180392923
Croatia,HRV,71600049650,4.172,7.123507733,9.63967E+11,5.17523E+11,27707325846
Cyprus,CYP,29250524418,5.781,5.222367484,2.07895E+12,46791706039,645101053.9
Denmark,DNK,4.00167E+11,4.18,6.872574386,1.06913E+11,15183014167,3669271655
Finland,FIN,2.82896E+11,4.202,14.60814395,1.61746E+11,2.35768E+11,27041426455
France,FRA,2.77909E+12,4.402,8.201289912,7.3087E+11,1.99863E+12,9139669355
Germany,DEU,4.08247E+12,6.976,7.80737541,13073622629,1.34914E+11,47374917273
Hungary,HUN,1.77337E+11,7.445,6.336008078,7.50825E+11,5.18103E+11,14952575509
Ireland,IRL,5.3314E+11,6.801,28.73729768,1.72491E+11,1.44698E+11,-3.22054E+11
Luxembourg,LUX,81641807866,2.989,..,5983308254,4632838232,872574936.7
Moldova,MDA,14508333280,3.423,13.04030363,9.46334E+11,1.58253E+11,4777329084
Montenegro,MNE,6229801581,4.362,10.00120788,4.31352E+11,47552019394,11882525849
Netherlands,NLD,1.0094E+12,4.698,14.20471732,1.14728E+11,1.49876E+11,4593001355
Norway,NOR,5.79422E+11,2.278,5.764123179,3210395030,5.62334E+11,42294129936
Poland,POL,6.88125E+11,15.402,14.42945076,3.22503E+11,83863078145,366000000
Portugal,PRT,2.55197E+11,3.538,7.832691242,1.29215E+11,62328761710,3216630000
Romania,ROU,3.00691E+11,2.602,13.79548874,..,27706022594,11132326696
Serbia,SRB,63563401044,3.171,11.98151173,1.26575E+11,1.07171E+12,1.05425E+11
Slovak Republic,SVK,1.15462E+11,5.436,12.77414636,40579099283,1.69385E+11,-13984794998
Slovenia,SVN,60063475466,9.473,8.833698867,5.79513E+11,10082344524,592040000
Spain,ESP,1.4178E+12,6.094,8.390576341,3.12136E+11,8.37393E+11,-11506545671
Sweden,SWE,5.91189E+11,7.358,8.369290989,3.50004E+11,4.21473E+11,35305000000
Switzerland,CHE,8.18427E+11,13.009,2.835027986,6.29662E+11,1.20954E+11,4052338522
Turkiye,TUR,9.07118E+11,10.03,72.30883599,56547401875,2.94817E+11,50046398276
Ukraine,UKR,1.60503E+11,3.571,20.18363666,56908843409,3.86305E+11,13094000000
United Kingdom,GBR,3.08907E+12,..,7.922048831,1.0278E+12,1.11156E+12,44126903482
